# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BRCA1	ENSG00000012048	ENST00000461798	nonsense_mediated_decay	0	2	0	5	0	1	1	0	1	0	3	0	1	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	3	2	13	0	1	1	0	0	0	13	2	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	3	1	8	0	1	1	0	4	0	4	1	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	4	7	7	0	1	1	0	0	0	7	7	0	0	0	1	0	2	0
BRCA1	ENSG00000012048	ENST00000472490	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	1	7	0	0	0	0	5	0	1	1	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	2	0	10	0	1	1	0	6	0	4	0	0	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	3	1	8	0	1	1	0	4	0	4	1	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	3	2	11	0	1	1	0	0	0	11	2	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	1	2	9	0	0	0	0	0	0	8	2	0	0	0	0	0	1	1
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	10	0	0	0	0	1	0	8	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000489037	protein_coding	0	2	0	3	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	3	2	13	0	1	1	0	0	0	13	2	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000492859	nonsense_mediated_decay	0	2	0	12	1	1	1	0	5	0	4	0	2	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	4	7	7	0	1	1	0	0	0	7	7	0	0	0	1	0	2	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	3	2	11	0	1	1	0	0	0	11	2	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	2	1	9	0	1	1	0	5	0	4	1	0	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	1	10	0	0	0	0	5	0	5	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	17	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	1	2	14	0	0	0	0	0	0	14	2	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	17	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000618469	protein_coding	0	2	0	2	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000621897	processed_transcript	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	3	3	6	0	1	1	0	2	0	4	3	0	0	0	1	0	1	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	3	5	3	10	0	0	0	1	0	2	13	2	0	1	0	2	0	3	0
BRCA2	ENSG00000139618	ENST00000470094	nonsense_mediated_decay	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9
BRCA2	ENSG00000139618	ENST00000528762	nonsense_mediated_decay	1	2	0	8	1	0	0	0	0	0	8	0	1	1	0	2	0	0	1
BRCA2	ENSG00000139618	ENST00000530893	processed_transcript	0	0	0	7	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000533776	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	3	5	3	10	0	0	0	1	0	2	13	2	0	1	0	2	0	3	0
BRCA2	ENSG00000139618	ENST00000614259	processed_transcript	0	1	0	9	0	0	0	0	0	0	4	0	6	0	0	1	0	0	0
CALR	ENSG00000179218	ENST00000316448	protein_coding	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0
CALR	ENSG00000179218	ENST00000586760	protein_coding	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1
CALR	ENSG00000179218	ENST00000586803	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CALR	ENSG00000179218	ENST00000586967	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CALR	ENSG00000179218	ENST00000587486	retained_intron	0	0	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
CALR	ENSG00000179218	ENST00000588454	protein_coding	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0
CALR	ENSG00000179218	ENST00000590325	retained_intron	0	0	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
CBL	ENSG00000110395	ENST00000264033	protein_coding	1	1	1	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0
CBL	ENSG00000110395	ENST00000634301	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
CBL	ENSG00000110395	ENST00000634586	protein_coding	1	1	1	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0
CBL	ENSG00000110395	ENST00000634840	protein_coding	1	1	1	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0
CBL	ENSG00000110395	ENST00000637974	protein_coding	1	1	1	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0
CEBPA	ENSG00000245848	ENST00000498907	protein_coding	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
CEBPA-AS1	ENSG00000267296	ENST00000592982	antisense	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CRLF2	ENSG00000205755	ENST00000381566	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRLF2	ENSG00000205755	ENST00000381567	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRLF2	ENSG00000205755	ENST00000400841	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CRLF2	ENSG00000205755	ENST00000467626	nonsense_mediated_decay	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CSF1R	ENSG00000182578	ENST00000286301	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CSF1R	ENSG00000182578	ENST00000511344	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CTC-425F1.4	ENSG00000267458	ENST00000589120	antisense	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CTD-2540B15.11	ENSG00000267580	ENST00000589932	antisense	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CTD-2540B15.7	ENSG00000267727	ENST00000587312	antisense	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
CTD-2540B15.9	ENSG00000267130	ENST00000593041	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DACH1	ENSG00000276644	ENST00000611519	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DACH1	ENSG00000276644	ENST00000613252	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DACH1	ENSG00000276644	ENST00000619232	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DACH1	ENSG00000276644	ENST00000620444	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DHODH	ENSG00000102967	ENST00000219240	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DHODH	ENSG00000102967	ENST00000571288	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DHODH	ENSG00000102967	ENST00000572003	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DHODH	ENSG00000102967	ENST00000572887	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DHODH	ENSG00000102967	ENST00000573843	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DHODH	ENSG00000102967	ENST00000573922	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DHODH	ENSG00000102967	ENST00000574309	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DHODH	ENSG00000102967	ENST00000576145	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000320356	protein_coding	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
EZH2	ENSG00000106462	ENST00000350995	protein_coding	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
EZH2	ENSG00000106462	ENST00000460911	protein_coding	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
EZH2	ENSG00000106462	ENST00000476773	protein_coding	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
EZH2	ENSG00000106462	ENST00000478654	protein_coding	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
EZH2	ENSG00000106462	ENST00000483012	nonsense_mediated_decay	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000483967	protein_coding	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
EZH2	ENSG00000106462	ENST00000492143	nonsense_mediated_decay	0	0	0	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000498186	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
FLT3	ENSG00000122025	ENST00000241453	protein_coding	1	3	3	6	0	0	0	0	0	0	10	3	0	0	1	4	0	0	0
FLT3	ENSG00000122025	ENST00000380987	nonsense_mediated_decay	1	4	0	8	0	0	0	0	0	0	10	0	3	0	1	4	0	0	0
GNA11	ENSG00000088256	ENST00000078429	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GNA11	ENSG00000088256	ENST00000586180	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000586763	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000587636	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GNA11	ENSG00000088256	ENST00000588401	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000590534	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000591301	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
H3F3BP1	ENSG00000236534	ENST00000440551	processed_pseudogene	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000263851	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000379113	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000518982	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000519833	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000520215	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000520269	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000520317	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000523959	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IL7	ENSG00000104432	ENST00000541183	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
JAK2	ENSG00000096968	ENST00000381652	protein_coding	5	3	4	0	0	0	0	0	0	3	5	4	0	2	0	4	0	0	0
JAK2	ENSG00000096968	ENST00000636127	protein_coding	1	1	0	2	0	0	0	0	2	0	2	0	0	1	0	1	0	0	0
JAK3	ENSG00000105639	ENST00000458235	protein_coding	0	1	1	4	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
JAK3	ENSG00000105639	ENST00000526008	processed_transcript	0	0	0	4	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0
JAK3	ENSG00000105639	ENST00000527031	retained_intron	0	0	0	6	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0
JAK3	ENSG00000105639	ENST00000527670	protein_coding	0	1	1	4	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
JAK3	ENSG00000105639	ENST00000528293	retained_intron	0	0	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
JAK3	ENSG00000105639	ENST00000528705	retained_intron	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1
JAK3	ENSG00000105639	ENST00000534444	protein_coding	0	1	1	4	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
KIT	ENSG00000157404	ENST00000288135	protein_coding	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
KIT	ENSG00000157404	ENST00000412167	protein_coding	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
KIT	ENSG00000157404	ENST00000512959	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KIT	ENSG00000157404	ENST00000514582	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KMT2A	ENSG00000118058	ENST00000389506	protein_coding	2	6	8	2	0	0	0	0	0	0	6	8	0	1	0	4	1	3	0
KMT2A	ENSG00000118058	ENST00000392873	protein_coding	1	3	2	1	0	0	0	0	0	0	1	2	0	0	0	1	1	2	1
KMT2A	ENSG00000118058	ENST00000420751	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
KMT2A	ENSG00000118058	ENST00000525408	retained_intron	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
KMT2A	ENSG00000118058	ENST00000527839	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
KMT2A	ENSG00000118058	ENST00000527869	protein_coding	0	0	0	5	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0
KMT2A	ENSG00000118058	ENST00000528278	retained_intron	0	1	0	2	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
KMT2A	ENSG00000118058	ENST00000531904	protein_coding	0	1	3	2	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0
KMT2A	ENSG00000118058	ENST00000533790	protein_coding	0	0	1	5	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0
KMT2A	ENSG00000118058	ENST00000534085	retained_intron	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
KMT2A	ENSG00000118058	ENST00000534358	protein_coding	2	5	9	2	0	0	0	0	0	0	5	9	0	1	0	3	1	3	0
KMT2A	ENSG00000118058	ENST00000534678	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
KRAS	ENSG00000133703	ENST00000256078	protein_coding	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KRAS	ENSG00000133703	ENST00000311936	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000557334	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
LYRM5	ENSG00000205707	ENST00000381356	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LYRM5	ENSG00000205707	ENST00000553788	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LYRM5	ENSG00000205707	ENST00000556885	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LYRM5	ENSG00000205707	ENST00000557540	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR6515	ENSG00000274417	ENST00000619843	miRNA	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
MPL	ENSG00000117400	ENST00000372470	protein_coding	0	1	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0
MPL	ENSG00000117400	ENST00000413998	protein_coding	0	1	0	5	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0
MTND1P11	ENSG00000228166	ENST00000456661	unprocessed_pseudogene	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MTND6P5	ENSG00000227730	ENST00000448266	unprocessed_pseudogene	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
NBR2	ENSG00000198496	ENST00000356906	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NBR2	ENSG00000198496	ENST00000460115	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NBR2	ENSG00000198496	ENST00000467245	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
P2RY8	ENSG00000182162	ENST00000381297	protein_coding	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
P2RY8	ENSG00000182162	ENST00000460672	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000358127	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000377840	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000377847	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000377852	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000377853	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000414447	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000446742	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000520083	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000520154	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000520281	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000522003	protein_coding	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000522932	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000523145	protein_coding	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000523241	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000523493	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
PAX5	ENSG00000196092	ENST00000524340	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	1	2	3	1	0	0	0	0	0	2	2	0	0	0	0	0	1	0
PDGFRA	ENSG00000134853	ENST00000461294	retained_intron	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
PDGFRA	ENSG00000134853	ENST00000507536	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
PDGFRA	ENSG00000134853	ENST00000509092	retained_intron	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000509490	nonsense_mediated_decay	0	0	0	4	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0
PDGFRB	ENSG00000113721	ENST00000261799	protein_coding	0	1	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
PDGFRB	ENSG00000113721	ENST00000517488	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
PDGFRB	ENSG00000113721	ENST00000517660	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PDGFRB	ENSG00000113721	ENST00000517957	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
PDGFRB	ENSG00000113721	ENST00000519575	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PDGFRB	ENSG00000113721	ENST00000520579	nonsense_mediated_decay	0	0	0	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
PDGFRB	ENSG00000113721	ENST00000520851	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PDGFRB	ENSG00000113721	ENST00000521723	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PDGFRB	ENSG00000113721	ENST00000522466	retained_intron	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PDSS1P1	ENSG00000182347	ENST00000422953	processed_pseudogene	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8
PTEN	ENSG00000171862	ENST00000371953	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PTEN	ENSG00000171862	ENST00000462694	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PTEN	ENSG00000171862	ENST00000610634	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RAD23A	ENSG00000179262	ENST00000316856	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAD23A	ENSG00000179262	ENST00000586534	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAD23A	ENSG00000179262	ENST00000588329	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAD23A	ENSG00000179262	ENST00000588826	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
