#Position (bp)	Coverage
1.304061098E9	0.0
1.311800333E9	0.0
1.319539568E9	0.0
1.327278803E9	0.0
1.335018038E9	0.0
1.342757273E9	0.0
1.350496508E9	0.0
1.358235743E9	0.0
1.365974978E9	0.0
1.373714213E9	118.55084745762711
1.381453448E9	61.29454967143409
1.389059378E9	0.0
1.3929289955E9	0.0
1.396931918E9	0.0
1.404671153E9	0.0
1.412410388E9	0.0
1.420149623E9	0.0
1.427888858E9	0.0
1.435628093E9	0.0
1.443367328E9	0.0
1.451106563E9	0.0
1.458845798E9	0.0
1.466585033E9	0.0
1.474324268E9	41.380710659898476
1.482063503E9	0.0
1.489802738E9	0.0
1.497541973E9	0.0
1.505281208E9	0.0
1.513020443E9	0.0
1.520759678E9	0.0
1.528498913E9	0.0
1.5357641215E9	0.0
1.539633739E9	0.0
1.543977383E9	51.20322658319287
1.551716618E9	0.0
1.559455853E9	0.0
1.567195088E9	0.0
1.574934323E9	124.241948153967
1.582673558E9	0.0
1.590412793E9	0.0
1.598152028E9	0.0
1.605891263E9	0.0
1.613630498E9	0.0
1.621369733E9	0.0
1.629108968E9	0.0
1.636848203E9	0.0
1.644587438E9	0.0
1.652326673E9	0.0
1.660065908E9	0.0
1.667805143E9	0.0
1.675544378E9	137.4188151398793
1.6798935695E9	0.0
1.683763187E9	0.0
1.691022848E9	0.0
1.698762083E9	0.0
1.706501318E9	0.0
1.714240553E9	0.0
1.721979788E9	0.0
1.729719023E9	0.0
1.737458258E9	0.0
1.745197493E9	0.0
1.752936728E9	0.0
1.760675963E9	0.0
1.768415198E9	62.75519630484988
1.776154433E9	0.0
1.783893668E9	0.0
1.791632903E9	0.0
1.799372138E9	0.0
1.807111373E9	0.0
1.8134444405E9	0.0
1.817314058E9	0.0
1.822589843E9	0.0
1.830329078E9	0.0
1.838068313E9	0.0
1.845807548E9	106.63913824057451
1.853546783E9	0.0
1.861286018E9	0.0
1.869025253E9	0.0
1.876764488E9	0.0
1.884503723E9	0.0
1.892242958E9	0.0
1.899982193E9	0.0
1.907721428E9	0.0
1.915460663E9	0.0
1.923199898E9	0.0
1.930939133E9	86.78706263328331
1.938678368E9	119.39170360987967
1.946417603E9	0.0
1.9506008135E9	0.0
1.954470431E9	0.0
1.961896073E9	0.0
1.969635308E9	0.0
1.977374543E9	57.93160054719562
1.985113778E9	0.0
1.992853013E9	0.0
2.000592248E9	0.0
2.008331483E9	0.0
2.016070718E9	0.0
2.023809953E9	0.0
2.031549188E9	0.0
2.039288423E9	0.0
2.047027658E9	0.0
2.054766893E9	0.0
2.062506128E9	0.0
2.070245363E9	0.0
2.077984598E9	0.0
2.0833102585E9	0.0
2.087179876E9	0.0
2.093463068E9	0.0
2.101202303E9	0.0
2.108941538E9	0.0
2.116680773E9	113.56446933405303
2.124420008E9	0.0
2.132159243E9	76.96663548487683
2.139898478E9	0.0
2.147637713E9	0.0
2.155376948E9	0.0
2.163116183E9	0.0
2.170855418E9	0.0
2.178594653E9	0.0
2.186333888E9	0.0
2.194073123E9	0.0
2.19893946E9	0.0
2.2028090775E9	0.0
2.209551593E9	0.0
2.217290828E9	0.0
2.225030063E9	0.0
2.232769298E9	0.0
2.240508533E9	0.0
2.248247768E9	0.0
2.255987003E9	0.0
2.263726238E9	0.0
2.271465473E9	0.0
2.279204708E9	0.0
2.286943943E9	0.0
2.294683178E9	0.0
2.302422413E9	0.0
2.306788875E9	0.0
2.3106584925E9	0.0
2.317900883E9	0.0
2.325640118E9	0.0
2.333379353E9	0.0
2.341118588E9	0.0
2.348857823E9	0.0
2.356597058E9	0.0
2.364336293E9	0.0
2.372075528E9	0.0
2.379814763E9	0.0
2.387553998E9	0.0
2.395293233E9	0.0
2.403032468E9	0.0
2.4083595985E9	0.0
2.412229216E9	0.0
2.418510938E9	0.0
2.426250173E9	0.0
2.433989408E9	0.0
2.441728643E9	0.0
2.449467878E9	0.0
2.457207113E9	0.0
2.464946348E9	0.0
2.472685583E9	0.0
2.480424818E9	0.0
2.488164053E9	0.0
2.495903288E9	0.0
2.499972385E9	0.0
2.5038420025E9	0.0
2.511381758E9	96.54843669912866
2.519120993E9	0.0
2.526860228E9	0.0
2.534599463E9	0.0
2.542338698E9	121.4856414613424
2.550077933E9	0.0
2.557817168E9	0.0
2.565556403E9	0.0
2.573295638E9	0.0
2.579266165E9	0.0
2.5831357825E9	0.0
2.588774108E9	0.0
2.596513343E9	0.0
2.604252578E9	0.0
2.611991813E9	0.0
2.619731048E9	0.0
2.627470283E9	0.0
2.635209518E9	0.0
2.642948753E9	0.0
2.650687988E9	0.0
2.657000964E9	0.0
2.6608705815E9	0.0
2.666166458E9	0.0
2.673905693E9	150.63107664777812
2.681644928E9	0.0
2.689384163E9	83.61531365313652
2.697123398E9	0.0
2.704862633E9	0.0
2.712601868E9	0.0
2.7175223955E9	0.0
2.721392013E9	0.0
2.728080338E9	0.0
2.735819573E9	0.0
2.743558808E9	0.0
2.751298043E9	0.0
2.759037278E9	0.0
2.766776513E9	0.0
2.774515748E9	0.0
2.7799920955E9	0.0
2.783861713E9	0.0
2.789994218E9	0.0
2.797733453E9	0.0
2.805472688E9	0.0
2.813211923E9	0.0
2.820951158E9	0.0
2.827274748E9	0.0
2.8311443655E9	0.0
2.836429628E9	0.0
2.844168863E9	0.0
2.851908098E9	0.0
2.859647333E9	0.0
2.867386568E9	0.0
2.875125803E9	0.0
2.8800143535E9	0.0
2.883883971E9	45.4541188738269
2.890604273E9	0.0
2.898343508E9	0.0
2.906082743E9	0.0
2.913821978E9	0.0
2.921561213E9	0.0
2.929300448E9	0.0
2.937039683E9	0.0
2.944778918E9	0.0
2.952518153E9	0.0
2.960257388E9	0.0
2.967996623E9	0.0
2.975735858E9	0.0
2.983475093E9	0.0
2.991214328E9	0.0
2.998953563E9	0.0
3.006692798E9	0.0
3.014432033E9	0.0
3.022171268E9	0.0
3.029910503E9	0.0
3.0350419835E9	0.0
3.038911601E9	0.0
3.045388973E9	0.0
3.053128208E9	0.0
3.060867443E9	0.0
3.068606678E9	0.0
3.076345913E9	0.0
3.084085148E9	0.0
3.091816089E9	0.0
3.095685698E9	0.0
